BL,SHIP_DATE,STATUS
228622,2023-08-04,TBA
231317,2023-08-04,ETA
235232,2023-08-04,TBA
235577,2023-08-04,TBA
235862,2023-08-15,Awaiting Payment
235849,2023-08-04,TBA
235850,2023-08-04,TBA
235851,2023-08-04,TBA
236678,2023-08-04,TBA
236679,2023-08-04,TBA
236732,2023-08-04,TBA
237034,2023-09-07,In Stock
238655,2023-08-04,TBA
238979,2023-08-04,TBA
239051,2023-08-04,TBA
239445,2023-08-04,TBA
240078,2023-09-22,Awaiting Information
240182,2023-08-15,Awaiting Payment
240470,2023-11-24,Awaiting Information
240992,2023-08-08,Shelf Life
242242,2023-10-19,ETA
242296,2023-08-08,Shipped
250058,2024-01-02,ETA
250059,2023-08-16,ETA
250060,2023-08-28,ETA
242171,2023-10-12,ETA
242174,2023-12-01,ETA
250165,2023-09-13,BL Sent
250166,2023-09-28,Awaiting Information
250167,2023-09-15,Awaiting Information
250168,2023-09-07,ETA
242175,2023-09-05,BL Sent
244000,2023-12-19,Awaiting Payment
243904,2023-08-11,TBA
244182,2023-09-11,BL Sent
244364,2023-08-15,Awaiting Payment
244292,2023-08-22,ETA
244463,2023-08-21,Delayed
244695,2023-09-19,BL Sent
244978,2023-08-04,ETA
245087,2023-08-21,BL Received
245391,2023-09-25,BL Received
245392,2023-11-27,BL Received
245393,2024-01-22,BL Received
245471,2023-08-04,TBA
245699,2023-11-20,In Stock
245759,2023-12-14,BL Sent
245944,2023-08-15,Awaiting Payment
246076,2023-08-15,Awaiting Payment
245912,2023-08-04,ETA
246164,2023-08-04,ETA
246242,2023-08-15,Awaiting Information
246243,2023-09-13,ETA
246319,2023-08-04,BL Sent
246061,2023-09-18,ETA
246443,2023-08-08,In Stock
246425,2023-10-16,ETA
246689,2023-08-04,TBA
246866,2023-08-11,Margin
246938,2023-10-31,In Stock
247225,2023-09-08,ETA
247121,2023-08-07,ETA
246975,2023-08-04,Delayed
247122,2023-08-31,ETA
247123,2023-09-29,ETA
247124,2023-10-31,ETA
247125,2023-11-30,ETA
247236,2023-10-09,ETA
247354,2023-08-15,BL Sent
247269,2023-09-13,In Stock
247274,2023-08-07,ETA
246752,2023-09-05,In Stock
246753,2023-10-17,ETA
247143,2023-08-04,TBA
247145,2023-09-04,ETA
247146,2023-10-02,ETA
247147,2023-11-02,ETA
247148,2023-12-04,ETA
247421,2023-08-14,Delayed
247501,2023-08-22,ETA
247403,2023-08-15,Awaiting Payment
247153,2023-10-24,ETA
247428,2023-10-11,ETA
247429,2023-08-30,ETA
247464,2023-08-24,BL Received
246769,2023-11-20,ETA
246770,2023-09-18,ETA
247158,2023-08-15,Awaiting Information
247513,2023-09-20,BL Received
247514,2023-11-30,BL Received
246774,2023-08-17,BL Sent
246775,2023-09-05,ETA
247161,2023-08-15,Shelf Life
247576,2023-08-04,TBA
246777,2023-09-18,ETA
247555,2023-08-10,Shelf Life
247609,2023-08-25,BL Sent
247484,2023-08-11,Delayed
247587,2023-08-15,Direct
247636,2023-08-04,ETA
247681,2023-09-07,ETA
247495,2023-09-05,BL Received
247496,2024-01-04,BL Received
247786,2023-08-04,ETA
247871,2023-08-11,Delayed
247835,2023-08-04,TBA
247882,2023-08-04,Shelf Life
247985,2023-08-28,ETA
247901,2023-10-17,ETA
247902,2023-10-17,ETA
247995,2023-08-17,Staged
247819,2023-08-04,TBA
247996,2023-08-17,Staged
247999,2023-09-05,Awaiting Payment
248043,2023-09-12,ETA
248081,2023-09-01,BL Sent
248082,2023-08-25,Staged
247908,2023-08-04,Awaiting Information
247909,2023-09-01,Awaiting Information
247910,2023-08-18,Awaiting Information
248044,2023-08-04,TBA
248122,2023-10-18,ETA
248123,2023-12-13,ETA
247912,2023-09-01,Awaiting Information
248131,2023-09-05,ETA
248132,2023-10-17,ETA
248198,2023-08-22,ETA
248092,2023-08-01,BL Received
248055,2023-08-16,Staged
248095,2023-08-01,BL Sent
248096,2023-08-01,Staged
248133,2023-12-04,ETA
248157,2023-09-20,BL Sent
248160,2023-08-15,Awaiting Payment
248139,2023-11-10,BL Sent
247928,2023-08-01,BL Received
247935,2023-08-01,TBA
248113,2023-09-12,ETA
248114,2024-01-12,ETA
248178,2023-09-04,In Stock
248222,2023-08-02,BL Received
248259,2023-10-02,ETA
248269,2023-08-16,Staged
248336,2023-11-17,ETA
248261,2023-09-21,ETA
247945,2023-08-08,Delayed
248265,2023-08-04,TBA
248277,2023-08-25,ETA
247949,2023-08-31,Shelf Life
248190,2023-10-23,Partial ETA
248191,2023-10-02,In Stock
248350,2023-11-14,ETA
248192,2023-11-20,In Stock
248487,2023-08-15,TBA
248488,2023-09-12,ETA
248411,2023-09-06,BL Received
248360,2023-08-04,TBA
248501,2023-08-15,Awaiting Payment
248299,2023-08-04,TBA
248424,2023-08-07,Shelf Life
248507,2023-08-04,Shelf Life
248508,2023-08-04,TBA
248537,2023-08-31,Direct
248567,2023-09-01,Awaiting Information
248621,2023-08-23,BL Sent
248432,2023-10-04,In Stock
248317,2023-08-09,Awaiting Information
248653,2023-08-17,Staged
248769,2023-09-18,In Stock
248448,2023-08-03,BL Sent
248449,2023-09-05,ETA
248614,2023-08-30,Partial ETA
248772,2023-11-10,In Stock
248773,2023-08-25,BL Received
248805,2023-08-23,BL Sent
248618,2023-08-07,Shipped
248776,2023-08-29,ETA
248806,2023-10-30,BL Sent
248807,2023-11-30,BL Sent
248809,2023-12-20,BL Sent
248811,2023-08-07,ETA
248859,2023-10-11,BL Received
248785,2023-08-08,BL Sent
248864,2023-08-16,Staged
248464,2023-08-18,Staged
248465,2023-08-24,BL Received
248701,2023-08-04,TBA
248846,2023-09-01,ETA
248848,2023-08-15,ETA/Awaiting Payment
248822,2023-08-15,Awaiting Payment
248849,2023-11-13,ETA
248850,2023-08-15,ETA/Awaiting Payment
248869,2023-09-25,Shelf Life
248472,2023-08-01,Staged
248856,2023-08-17,TBA
248963,2023-08-02,ETA
248475,2023-08-30,ETA
248715,2023-08-08,Shelf Life
248958,2023-08-04,BL Received
248959,2023-08-07,ETA
