BL,SHIP_DATE,STATUS,RECEIVED_DATE_cst,DESC1,shipvia,PRT
228622,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",2020-Nov-30,2021-Feb-02,BOURASSA #POLYHYA,
231317,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Ship date is not confirmed.,2021-Jul-26,2021-Aug-06,LEGGY TRANSPORT,1
235232,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",2021-Dec-21,2021-Dec-24,Dempsey,1
235577,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",2022-Jan-11,,Dempsey,1
235862,To be confirmed,Your order requires prepayment. Please refer to instructions in your order confirmationemail and proforma invoice. Ship / pickup date is not confirmed.,2022-Jan-17,2022-Jan-26,Customer Pickup,X
235849,2023-Sep-11,Your order was shipped on 2023-Sep-01. You will receive an invoice shortly.,,2023-Feb-15,BOURASSA #POLYHYA,
235850,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",,2022-Oct-03,BOURASSA #POLYHYA,
235851,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",,2022-Dec-01,BOURASSA #POLYHYA,
236678,2023-Aug-30,Your order was shipped on 2023-Sep-01. You will receive an invoice shortly.,,2022-Aug-18,Dempsey,1
236679,2023-Aug-30,Your order was shipped on 2023-Sep-01. You will receive an invoice shortly.,,2022-Nov-18,Dempsey,1
236732,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",,2022-Mar-16,BOURRET,1
237034,To be confirmed,"Our distribution centre has advised that your order has not yet been picked up. Please arrange pickup as per the instructions sent to you by Customer Service. If you have not received your confirmation email, please contact customerservice@dempseycorporation.com",,2023-Sep-07,Customer Pickup,1
237926,To be confirmed,Your order has been cancelled.,,2023-Aug-31,PROCTERS,X
238655,2023-Sep-08,Your order was shipped on 2023-Sep-01. You will receive an invoice shortly.,2022-Apr-28,2023-Sep-08,LABRANCHE,1
238979,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",2022-May-11,,Dempsey,1
239051,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",,2022-May-13,Dempsey,1
239445,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",,2022-Jan-06,Customer Pickup,1
240078,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2022-Jun-21,2023-Sep-25,PROCTERS,3
240182,To be confirmed,Your order requires prepayment. Please refer to instructions in your order confirmationemail and proforma invoice. Ship / pickup date is not confirmed.,2022-Jun-27,2022-Jun-29,Customer Pickup,X
