BL,SHIP_DATE,STATUS,RECEIVED_DATE_cst,DESC1,shipvia,PRT
53633,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",2022-Jul-25,2023-Apr-24,Customer Pickup,6
55258,2023-Oct-27,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Feb-28,2023-Oct-24,Customer Pickup,2
55227,2023-Oct-24,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Feb-22,2023-Oct-24,Customer Pickup,2
55228,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",2023-Feb-22,2023-Oct-02,Customer Pickup,1
55229,To be confirmed,"As per your instructions, we have placed this order on hold. Please contact customerservice@dempseycorporation.com if you wish to release the order.",2023-Feb-22,2023-Nov-01,Customer Pickup,1
55828,2023-Dec-11,Your order is in stock. Pickup date is confirmed.,2023-May-10,2023-Dec-11,Customer Pickup,1
55799,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-May-05,2023-May-19,Customer Pickup,2
55970,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-May-30,2023-Jun-15,FEDEX FRT PRIORITY,1
56090,To be confirmed,Your order has been cancelled.,2023-Jun-08,2023-Nov-02,R&K,1
56174,2023-Nov-06,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Jun-16,2023-Nov-06,Customer Pickup,1
56176,2023-Dec-01,Your order is in stock. Pickup date is confirmed.,2023-Jun-16,2023-Dec-01,Customer Pickup,1
56234,2023-Oct-09,Your order has been received by our distribution centre. Pickup date is confirmed.,,2023-Oct-09,Customer Pickup,2
56413,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Jul-20,2023-Oct-30,Customer Pickup,2
56396,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-14,2024-Jan-23,Customer Pickup,1
56421,2023-Oct-17,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Jul-21,2023-Oct-24,OLD DOMINION,2
56401,2023-Oct-20,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Jul-19,2023-Nov-02,Dempsey,1
56627,2023-Oct-26,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Aug-11,2023-Oct-31,Dempsey,3
56628,To be confirmed,Your order has been cancelled.,2023-Aug-11,2024-Jan-10,Customer Pickup,1
56641,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Aug-14,2023-Dec-14,FEDEX FRT PRIORITY,1
56642,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Aug-14,2024-Feb-01,FEDEX FRT PRIORITY,1
56653,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Jul-21,2023-Sep-06,ALL CONNECT,2
56737,To be confirmed,We require your approval prior to confirming the pickup date for your order. Please replyto the email Customer Service sent you or contact us at customerservice@dempseycorporation.com if you have not received an email regarding this order.,2023-Aug-30,2023-Oct-16,FEDEX FRT PRIORITY,1
56501,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-01,2023-Oct-02,UPS FREIGHT,2
56519,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Aug-04,2023-Oct-19,Dempsey,3
56741,2023-Oct-30,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Aug-31,2023-Oct-26,ECHO LOGISTICS,2
56504,To be confirmed,Your order is not yet in stock. Customer service will advise once product has been received. Pickup date is not confirmed.,2023-Aug-01,2023-Sep-01,UPS FREIGHT,1
56745,2023-Oct-18,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Aug-30,2023-Oct-25,Aeronet Freight,3
56746,To be confirmed,Your order has been cancelled.,2023-Aug-31,2023-Nov-07,FEDEX FREIGHT,1
56817,2023-Nov-07,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-11,2023-Nov-14,,2
56818,2023-Oct-27,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-11,2023-Oct-25,Customer Pickup,2
56692,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Aug-22,2023-Nov-13,FEDEX FRT PRIORITY,1
56857,2023-Nov-03,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-14,2023-Nov-03,Customer Pickup,2
56858,To be confirmed,Your order has been cancelled.,2023-Sep-12,2023-Nov-21,Customer Pickup,
56859,2023-Oct-25,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-15,2023-Oct-23,Customer Pickup,1
56862,2023-Oct-20,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Sep-12,2023-Sep-19,Dempsey,3
56863,To be confirmed,Your order is being processed. We are awaiting information internally before we can confirm your order. Customer Service will provide an update shortly.,2023-Sep-14,2023-Oct-16,Ultimate Freightway,1
56756,2023-Oct-03,Your order was picked up on 2023-Nov-06. We are awaiting freight charges and you will receive an invoice shortly.,2023-Sep-01,2023-Sep-08,Dempsey,1
56889,To be confirmed,"Our distribution centre has advised that your order has not yet been picked up. Please arrange pickup as per the instructions sent to you by Customer Service. If you have not received your confirmation email, please contact customerservice@dempseycorporation.com",2023-Sep-14,2023-Oct-23,Customer Pickup,2
56890,2023-Nov-02,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-13,2023-Nov-09,FEDEX FRT PRIORITY,2
56891,2023-Nov-20,Your order is in stock. Pickup date is confirmed.,2023-Sep-15,2023-Nov-20,Customer Pickup,1
56895,2023-Nov-06,Your order has been received by our distribution centre. Pickup date is confirmed.,2023-Sep-15,2023-Nov-13,FEDEX FRT PRIORITY,2
56599,2023-Oct-16,Your order was picked up on 2023-Nov-06. You will receive an invoice shortly.,2023-Aug-09,2023-Oct-16,Customer Pickup,2
56720,To be confirmed,Your order has been cancelled.,2023-Aug-29,2023-Oct-25,Aeronet Freight,X
