BL,SHIP_DATE,STATUS,RECEIVED_DATE_cst,DESC1,shipvia
53633,À confirmer,TBA,2022-Juil-25,2023-Avr-24,Customer Pickup
54915,À confirmer,Awaiting Information,2023-Janv-20,2023-Mars-10,Customer Pickup
55258,2023-Août-01,BL Sent,2023-Févr-28,2023-Août-01,Customer Pickup
55257,2023-Août-04,Delayed,2023-Févr-28,2023-Juin-01,Customer Pickup
55226,2023-Sept-25,In Stock,2023-Févr-22,2023-Sept-25,Customer Pickup
55227,À confirmer,ETA,2023-Févr-22,2023-Sept-04,Customer Pickup
55228,À confirmer,ETA,2023-Févr-22,2023-Oct-02,Customer Pickup
55229,À confirmer,ETA,2023-Févr-22,2023-Nov-01,Customer Pickup
55381,À confirmer,Awaiting Information,2023-Mars-20,2023-Août-01,Customer Pickup
55475,À confirmer,Awaiting Information,2023-Févr-21,2023-Mars-30,FEDEX FRT PRIORITY
55828,2023-Oct-02,In Stock,2023-Mai-10,2023-Oct-02,Customer Pickup
55799,À confirmer,ETA,2023-Mai-05,2023-Mai-19,Customer Pickup
55831,2023-Août-18,BL Received,2023-Mai-10,2023-Août-21,Customer Pickup
55918,2023-Août-02,Shipped,2023-Mai-19,2023-Mai-29,FEDEX FRT PRIORITY
55970,À confirmer,Awaiting Payment,2023-Mai-30,2023-Juin-15,FEDEX FRT PRIORITY
55950,À confirmer,ETA,2023-Mai-24,2023-Sept-15,Customer Pickup
55975,2023-Août-18,BL Received,2023-Mai-27,2023-Août-21,Customer Pickup
56011,À confirmer,Shelf Life,2023-Juin-05,2023-Juin-09,Dempsey
56020,2023-Sept-14,In Stock,2023-Juin-05,2023-Sept-14,Customer Pickup
56022,2023-Août-08,BL Sent,2023-Juin-06,2023-Juin-06,UPS GROUND
56103,2023-Août-04,Shipped,2023-Juin-12,2023-Juin-22,FEDEX FRT PRIORITY
56042,2023-Août-17,Invoicing,2023-Juin-08,2023-Août-24,FEDEX FRT PRIORITY
56117,À confirmer,Partial ETA - RR,2023-Juin-13,2023-Août-18,Customer Pickup
56119,À confirmer,Shelf Life,2023-Juin-13,2023-Juin-27,Customer Pickup
56171,2023-Août-15,Shipped,2023-Juin-16,2023-Juin-30,FEDEX FRT PRIORITY
56173,2023-Oct-02,BL Received,2023-Juin-16,2023-Oct-02,Customer Pickup
56174,À confirmer,Direct,2023-Juin-16,2023-Nov-06,Customer Pickup
56156,À confirmer,ETA,2023-Juin-15,2023-Sept-07,FEDEX FRT PRIORITY
56170,2023-Sept-08,In Stock,2023-Juin-16,2023-Sept-08,Customer Pickup
56176,À confirmer,Direct,2023-Juin-16,2023-Déc-01,Customer Pickup
56177,À confirmer,ETA,2023-Juin-19,2023-Sept-14,Customer Pickup
56198,2023-Août-28,BL Received,2023-Juin-21,2023-Sept-04,FEDEX FRT PRIORITY
56445,2023-Août-15,BL Sent,2023-Juil-19,2023-Août-07,Customer Pickup
56447,2023-Août-23,BL Received,2023-Juil-25,2023-Août-25,Customer Pickup
56217,2023-Août-14,BL Received,2023-Juin-23,2023-Août-10,Customer Pickup
56223,À confirmer,ETA,2023-Juin-29,2023-Sept-28,Customer Pickup
56225,2023-Août-25,BL Received,2023-Juin-26,2023-Juil-24,Dempsey
56245,2023-Août-29,BL Received,2023-Juin-28,2023-Août-29,Customer Pickup
56205,À confirmer,ETA,2023-Juin-20,2023-Août-28,FEDEX FRT PRIORITY
56206,2023-Août-17,Invoicing,2023-Juin-22,2023-Juil-25,Customer Pickup
56221,À confirmer,ETA,2023-Juin-26,2023-Oct-27,Customer Pickup
56248,2023-Août-17,Invoicing,2023-Juin-29,2023-Août-21,CK WORLDWIDE
56300,2023-Sept-14,In Stock,2023-Juil-06,2023-Sept-21,AERONET
56234,2023-Oct-09,BL Received,,2023-Oct-09,Customer Pickup
56252,2023-Sept-18,BL Received,2023-Juil-03,2023-Sept-25,Dempsey
56353,2023-Août-18,BL Received,2023-Juil-12,2023-Août-01,Customer Pickup
56370,2023-Sept-07,In Stock,2023-Juil-14,2023-Sept-14,K CAM International
56371,2023-Août-22,BL Received,2023-Juil-14,2023-Août-29,FEDEX FRT PRIORITY
56143,À confirmer,Shelf Life,2023-Juin-13,2023-Août-23,CH ROBINSON
56146,2023-Août-14,Delayed,2023-Juin-13,2023-Juin-28,Customer Pickup
56237,À confirmer,ETA,2023-Juin-28,2023-Sept-15,FEDEX FRT PRIORITY
56310,À confirmer,Partial ETA,2023-Juil-07,2023-Août-28,Customer Pickup
56358,2023-Sept-05,BL Sent,2023-Juil-10,2023-Sept-05,Dempsey
56372,2023-Août-14,BL Received,2023-Juil-18,2023-Juil-18,Customer Pickup
56380,À confirmer,Shelf Life,2023-Juil-14,2023-Juil-31,AERONET
56381,À confirmer,ETA,2023-Juil-17,2023-Août-01,Customer Pickup
56241,2023-Août-18,BL Received,2023-Juil-23,2023-Août-18,Customer Pickup
56312,2023-Août-02,Shipped,2023-Juil-10,2023-Juil-14,FEDEX FRT PRIORITY
56313,2023-Août-18,BL Received,2023-Juil-10,2023-Juil-25,Dempsey
56363,2023-Août-04,Margin,2023-Juin-19,2023-Juil-19,Customer Pickup
56379,À confirmer,ETA,2023-Juil-13,2023-Août-28,OLYMPIC
56404,À confirmer,Partial ETA,2023-Juil-19,2023-Août-25,AERONET
56405,À confirmer,Partial ETA,2023-Juil-19,2023-Sept-05,Customer Pickup
56424,2023-Août-17,BL Received,2023-Juil-21,2023-Août-11,Customer Pickup
56366,2023-Sept-01,In Stock,2023-Juil-11,2023-Sept-08,FEDEX FRT PRIORITY
56389,À confirmer,ETA,2023-Juil-18,2023-Sept-18,Customer Pickup
56391,2023-Sept-22,In Stock,2023-Juil-18,2023-Sept-29,FEDEX FRT PRIORITY
56411,2023-Août-08,BL Received,2023-Juil-19,2023-Août-07,UPS FREIGHT
56428,2023-Août-29,In Stock,2023-Juil-21,2023-Août-29,Customer Pickup
56429,2023-Sept-05,In Stock,2023-Juil-21,2023-Sept-12,FEDEX FRT PRIORITY
56449,2023-Sept-20,In Stock,2023-Juil-26,2023-Sept-27,FEDEX GROUND
56459,2023-Juil-31,Invoicing,,2023-Août-01,Dempsey
56322,2023-Août-04,Shipped,2023-Juil-12,2023-Juil-17,FEDEX FRT PRIORITY
56393,2023-Août-22,BL Received,2023-Juil-18,2023-Août-29,ECHO LOGISTICS
56395,2023-Août-11,BL Received,,2023-Août-01,Dempsey
56413,2023-Sept-26,In Stock,2023-Juil-20,2023-Sept-26,Customer Pickup
56452,À confirmer,ETA,2023-Juil-20,2023-Juil-20,FEDEX FRT PRIORITY
56453,À confirmer,ETA,2023-Juil-26,2023-Août-01,XPO
56455,2023-Août-29,BL Received,2023-Juil-25,2023-Sept-05,Dempsey
56460,2023-Août-31,BL Sent,2023-Juil-26,2023-Sept-07,CH ROBINSON
56461,2023-Août-15,BL Received,2023-Juil-25,2023-Août-17,Customer Pickup
56462,À confirmer,ETA,2023-Juil-11,2023-Juil-11,FEDEX FRT PRIORITY
56511,2023-Sept-13,In Stock,2023-Août-03,2023-Sept-20,FEDEX FRT PRIORITY
56512,2023-Août-07,Shipped,2023-Août-03,2023-Août-14,FEDEX GROUND
56396,À confirmer,Direct,2023-Juil-14,2024-Janv-23,Customer Pickup
56398,À confirmer,ETA,2023-Juil-18,2023-Sept-04,FEDEX FRT PRIORITY
56417,2023-Août-24,BL Received,2023-Juil-20,2023-Août-31,UPS GROUND
56418,À confirmer,Shelf Life,2023-Juil-20,2023-Août-04,Dempsey
56436,2023-Sept-05,In Stock,2023-Juil-20,2023-Sept-06,Customer Pickup
56437,À confirmer,ETA,2023-Juil-24,2023-Sept-09,FEDEX FRT PRIORITY
56464,À confirmer,ETA,2023-Juil-24,2023-Oct-10,FEDEX FRT PRIORITY
56465,2023-Août-18,BL Received,2023-Juil-25,2023-Août-25,FEDEX FRT PRIORITY
56516,2023-Août-04,BL Received,2023-Avr-13,2023-Sept-05,Customer Pickup
56517,2023-Oct-03,BL Received,2023-Mai-26,2023-Oct-03,Customer Pickup
56518,À confirmer,Awaiting Payment,2023-Août-04,2023-Août-09,Customer Pickup
56529,2023-Sept-29,In Stock,2023-Août-04,2023-Oct-06,K CAM International
56530,2023-Août-15,Invoicing,2023-Août-07,2023-Août-14,FEDEX FRT PRIORITY
56330,À confirmer,ETA,2023-Juil-13,2023-Sept-11,Customer Pickup
56421,2023-Oct-17,In Stock,2023-Juil-21,2023-Oct-24,OLD DOMINION
56423,À confirmer,ETA,2023-Juil-21,2023-Août-14,FEDEX FRT PRIORITY
56469,À confirmer,ETA,2023-Juil-26,2023-Août-04,UPS GROUND
56471,À confirmer,Awaiting Information,,2023-Juil-31,FEDEX FRT PRIORITY
56523,À confirmer,Partial ETA,2023-Août-04,2023-Août-08,Customer Pickup
56532,2023-Août-29,BL Received,2023-Août-08,2023-Sept-05,SCHNIDT
56534,2023-Oct-05,In Stock,2023-Août-08,2023-Oct-06,Customer Pickup
56535,2023-Sept-12,In Stock,2023-Août-01,2023-Sept-15,FEDEX GROUND
56540,À confirmer,ETA,2023-Août-07,2023-Sept-18,ECHO LOGISTICS
56541,À confirmer,Partial ETA,2023-Août-04,2023-Août-04,FFE
56542,À confirmer,ETA,2023-Août-04,2023-Août-04,FFE
56543,À confirmer,Awaiting Information,2023-Août-07,2023-Oct-04,ECHO LOGISTICS
56400,À confirmer,ETA,2023-Juil-21,2023-Sept-06,CUSTOMER PICK-UP
56401,2023-Nov-02,BL Received,2023-Juil-19,2023-Nov-02,Dempsey
56472,À confirmer,ETA,,2023-Juil-31,Dempsey
56473,2023-Août-17,BL Received,2023-Juil-31,2023-Août-28,OLYMPIC
56474,2023-Sept-22,In Stock,2023-Juil-26,2023-Sept-29,Dempsey
56524,2023-Août-10,Shipped,2023-Juil-18,2023-Juil-20,Dempsey
56527,2023-Août-11,Invoicing,2023-Août-04,2023-Août-04,Customer Pickup
56538,2023-Août-28,BL Received,2023-Août-07,2023-Août-30,Customer Pickup
56539,2023-Août-29,BL Received,2023-Août-07,2023-Août-29,Customer Pickup
56477,2023-Août-15,Invoicing,2023-Juil-27,2023-Août-01,FEDEX FRT PRIORITY
56479,2023-Août-23,BL Received,2023-Juil-27,2023-Août-25,Customer Pickup
56480,2023-Sept-06,In Stock,2023-Juil-27,2023-Sept-13,FEDEX FRT PRIORITY
56481,2023-Août-17,Shipped,2023-Juil-28,2023-Août-22,FEDEX FRT PRIORITY
56483,2023-Août-17,Invoicing,2023-Mai-30,2023-Août-17,Customer Pickup
56544,À confirmer,ETA,2023-Août-09,2023-Août-09,FEDEX GROUND
56547,À confirmer,ETA,2023-Août-08,2023-Sept-12,Dempsey
56613,À confirmer,Partial ETA,2023-Août-08,2023-Août-28,Customer Pickup
56614,2023-Oct-10,In Stock,2023-Août-10,2023-Oct-17,FEDEX FRT PRIORITY
56616,À confirmer,ETA,2023-Août-11,2023-Août-17,Customer Pickup
56625,2023-Août-18,BL Received,2023-Août-15,2023-Août-24,Aeronet Freight
56626,À confirmer,ETA,2023-Août-10,2023-Sept-21,OLYMPIC
56627,À confirmer,ETA,2023-Août-11,2023-Oct-13,AERONET
56628,2023-Déc-01,In Stock,2023-Août-11,2023-Déc-04,Customer Pickup
56639,À confirmer,ETA,2023-Août-15,2023-Sept-26,FEDEX FRT PRIORITY
56640,À confirmer,ETA,2023-Août-08,2023-Août-24,Kingsgate Logistics
56645,À confirmer,ETA,2023-Août-10,2023-Août-24,Dempsey
56646,2023-Août-22,In Stock,2023-Août-17,2023-Août-28,Dempsey
56485,À confirmer,ETA,2023-Avr-11,2023-Avr-19,Dempsey
56487,2023-Sept-06,In Stock,2023-Juil-28,2023-Sept-06,Customer Pickup
56548,2023-Août-14,Shipped,2023-Août-07,2023-Août-21,FEDEX FRT PRIORITY
56549,2023-Sept-05,In Stock,2023-Août-10,2023-Sept-12,FEDEX FRT PRIORITY
56551,À confirmer,ETA,2023-Août-10,2023-Août-18,Dempsey
56618,À confirmer,Shelf Life,2023-Août-09,2023-Août-31,FEDEX FRT PRIORITY
56619,2023-Août-30,BL Received,2023-Août-10,2023-Sept-06,ECHO GLOBAL LOGISTICS
56620,2023-Août-22,BL Sent,2023-Août-15,2023-Août-25,Dempsey
56349,À confirmer,ETA,,2023-Août-24,DEMPSEY
56350,2023-Août-17,Invoicing,2023-Juil-12,2023-Août-24,ECHO LOGISTICS
56351,2023-Août-17,Invoicing,2023-Juil-12,2023-Juil-19,OLD DOMINION
56489,2023-Août-18,BL Received,2023-Juil-30,2023-Août-25,FEDEX FRT PRIORITY
56492,À confirmer,ETA,2023-Juil-25,2023-Août-24,FEDEX FRT PRIORITY
56494,À confirmer,ETA,2023-Juin-14,2023-Août-04,Customer Pickup
56621,2023-Sept-04,In Stock,2023-Août-10,2023-Sept-11,FEDEX FRT PRIORITY
56622,À confirmer,Partial ETA - RR,2023-Août-08,2023-Sept-08,AERONET
56623,À confirmer,Partial ETA,2023-Août-10,2023-Sept-06,Dayton Freight
56624,2023-Août-30,BL Received,2023-Août-09,2023-Sept-06,FEDEX GROUND
56629,À confirmer,ETA,2023-Août-15,2023-Août-16,UPS FREIGHT
56630,À confirmer,ETA,2023-Août-15,2023-Août-18,UPS FREIGHT
56631,À confirmer,ETA,2023-Juil-12,2023-Juil-19,OLD DOMINION
56632,2023-Août-18,BL Received,2023-Août-16,2023-Août-23,FEDEX FRT PRIORITY
56641,À confirmer,ETA,2023-Août-14,2023-Déc-14,FEDEX FRT PRIORITY
56642,À confirmer,ETA,2023-Août-14,2024-Févr-01,FEDEX FRT PRIORITY
56644,À confirmer,Direct,2023-Juil-28,2023-Août-21,Dempsey
